equation,reaction_type,family,process,origin,depth,consistency_verdict,state_verdict,thermochemistry_verdict,reaction_evidence_verdict,kinetics_verdict,delta_h_eV,delta_g_eV,threshold_eV,kinetic_data,selected,exclusion_reason,id
e + Ar(r) -> Ar+ + 2 e,Electron-impact ionization,electron,ionization,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_5ccce802fea8
e + F -> F+ + 2 e,Electron-impact ionization,electron,ionization,mechanical,2,pass,pass,pass,pass,unknown,17.422881725314177,,17.42282,,true,,rxn_0ac0463c2879
e + F2 -> F2+ + 2 e,Electron-impact ionization,electron,ionization,mechanical,2,pass,pass,pass,pass,unknown,,,15.69,,true,,rxn_209315ead1fb
e + O -> O+ + 2 e,Electron-impact ionization,electron,ionization,mechanical,2,pass,pass,pass,pass,unknown,13.617578000000002,,13.618055,,true,,rxn_02b625c9d811
e + O2(v) -> O2+ + 2 e,Electron-impact ionization,electron,ionization,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_2400ffdfb3a5
e + O2* -> O2+ + 2 e,Electron-impact ionization,electron,ionization,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_1367abd723f8
e + SF4 -> SF4+ + 2 e,Electron-impact ionization,electron,ionization,mechanical,2,pass,pass,pass,pass,unknown,,,12.0,,true,,rxn_81b72c4107a5
e + SF5 -> SF5+ + 2 e,Electron-impact ionization,electron,ionization,mechanical,2,pass,pass,pass,pass,unknown,,,9.6,,true,,rxn_cd8ddb1dd16e
e + SF6(v) -> SF6+ + 2 e,Electron-impact ionization,electron,ionization,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_a2095b8900f0
e + SF6* -> SF6+ + 2 e,Electron-impact ionization,electron,ionization,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_c805ccf5f0e9
e + Ar+ -> Ar,Electron-ion recombination,electron,recombination,mechanical,2,pass,pass,pass,unknown,unknown,-15.75961,,,,true,,rxn_b9b97c9cedf9
e + O+ -> O,Electron-ion recombination,electron,recombination,mechanical,2,pass,pass,pass,unknown,unknown,-13.617578000000002,,,,true,,rxn_a065d9985ac4
e + O2+ -> O2,Electron-ion recombination,electron,recombination,mechanical,2,pass,pass,pass,unknown,unknown,-12.0697,,,,true,,rxn_fe3ef2a625bf
e + SF4+ -> SF4,Electron-ion recombination,electron,recombination,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_f906559f20b2
e + SF5+ -> SF5,Electron-ion recombination,electron,recombination,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_f9ccaf67990c
e + SF6+ -> SF6,Electron-ion recombination,electron,recombination,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_0f4c5d05bc62
